USER_ID,NAME
1650,Huntington Bancshares Incorporated
1660,Mylan N.V.
1670,Pitney Bowes Inc.
1680,Arbor Realty Trust
1690,Global X SuperDividend Alternatives ETF
1700,Steel Partners Holdings LP
1710,BioLineRx Ltd.
1720,Rite Aid Corporation
1730,Blackrock Global
1740,Vanguard Russell 1000 Value ETF
1750,First Defiance Financial Corp.
1760,Morgan Stanley
1770,Ares Capital Corporation
1780,Sysco Corporation
1790,LightInTheBox Holding Co., Ltd.
1800,Bitauto Holdings Limited
1810,Uniti Group Inc.
1820,Insperity, Inc.
1830,Legg Mason Global Infrastructure ETF
1840,Clifton Bancorp Inc.
1850,North European Oil Royality Trust
1860,Mesa Laboratories, Inc.
1870,CRA International,Inc.
1880,Aqua Metals, Inc.
1890,Care.com, Inc.
1900,First Trust Nasdaq Retail ETF
1910,National Commerce Corporation
1920,Jounce Therapeutics, Inc.
1930,NorthWestern Corporation
1940,PowerShares S&P SmallCap Health Care Portfolio
1950,BB&T Corporation
1960,First Hawaiian, Inc.
1970,Cara Therapeutics, Inc.
1980,Nuveen Select Tax Free Income Portfolio III
1990,OM Asset Management plc
2000,Customers Bancorp, Inc
2010,TerraForm Global, Inc.
2020,SCYNEXIS, Inc.
2030,Discover Financial Services
2040,Neptune Technologies & Bioresources Inc
2050,Revolution Lighting Technologies, Inc.
2060,New Residential Investment Corp.
2070,Great Southern Bancorp, Inc.
2080,DST Systems, Inc.
2090,Park Electrochemical Corporation
2100,Dynagas LNG Partners LP
2110,Digital Realty Trust, Inc.
2120,Granite Real Estate Inc.
2130,Turtle Beach Corporation
2140,PAVmed Inc.
2150,Blackrock MuniHoldings California Quality Fund,  Inc.
2160,M&T Bank Corporation
2170,First Trust Intermediate Duration Preferred & Income Fund
2180,Plains Group Holdings, L.P.
2190,Aoxin Tianli Group, Inc.
2200,Churchill Downs, Incorporated
2210,Exelixis, Inc.
2220,Bio-Rad Laboratories, Inc.
2230,BB&T Corporation
2240,Host Hotels & Resorts, Inc.
2250,Eaton Vance Senior Income Trust
2260,Marine Products Corporation
2270,Zoe's Kitchen, Inc.
2280,Kayne Anderson Energy Total Return Fund, Inc.
2290,Banner Corporation
2300,Biostage, Inc.
2310,HSBC Holdings plc
2320,Sterling Bancorp
2330,Popular, Inc.
2340,Charter Financial Corp.
2350,MakeMyTrip Limited
2360,Hallador Energy Company
2370,Silver Spring Networks, Inc.
2380,Nuveen Multi-Market Income Fund
2390,Southwest Bancorp, Inc.
2400,General Electric Company
2410,StoneCastle Financial Corp
2420,Match Group, Inc.
2430,ChinaCache International Holdings Ltd.
2440,Urstadt Biddle Properties Inc.
2450,Northern Trust Corporation
2460,First Data Corporation
2470,Bank Mutual Corporation
2480,Accuray Incorporated
2490,Chesapeake Utilities Corporation
2500,Engility Holdings, Inc.
2510,Bank of America Corporation
2520,Booz Allen Hamilton Holding Corporation
2530,North European Oil Royality Trust
2540,Veritex Holdings, Inc.
2550,Encore Wire Corporation
2560,Under Armour, Inc.
2570,Littelfuse, Inc.
2580,Goldman Sachs Group, Inc. (The)
2590,Two Harbors Investments Corp
2600,First Trust Specialty Finance and Financial Opportunities Fund
2610,Cytosorbents Corporation
2620,Poage Bankshares, Inc.
2630,Cree, Inc.
2640,FlexShares Real Assets Allocation Index Fund
2650,Union Bankshares, Inc.
2660,Hamilton Bancorp, Inc.
2670,Fidus Investment Corporation
2680,Dreyfus Municipal Bond Infrastructure Fund, Inc.
2690,Continental Building Products, Inc.
2700,CareDx, Inc.
2710,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.
2720,Ashford Hospitality Trust Inc
2730,Seaspan Corporation
2740,Royal Bank Scotland plc (The)
2750,ChinaNet Online Holdings, Inc.
2760,Titan International, Inc.
2770,Vishay Intertechnology, Inc.
2780,American Renal Associates Holdings, Inc
2790,SS&C Technologies Holdings, Inc.
2800,Oxford Industries, Inc.
2810,First Trust Nasdaq Transportation ETF
2820,Cellectar Biosciences, Inc.
2830,Sigma Designs, Inc.
2840,Sina Corporation
2850,ING Group, N.V.
2860,Pluristem Therapeutics, Inc.
2870,Marchex, Inc.
2880,Landmark Infrastructure Partners LP
2890,Welltower Inc.
2900,Akebia Therapeutics, Inc.
2910,Blackrock MuniAssets Fund, Inc.
2920,Marsh & McLennan Companies, Inc.
2930,Strattec Security Corporation
2940,Thermo Fisher Scientific Inc
2950,Rockwell Medical, Inc.
2960,Matrix Service Company
2970,Genius Brands International, Inc.
2980,TerraForm Power, Inc.
2990,Equifax, Inc.
3000,AC Immune SA
3010,World Fuel Services Corporation
3020,Xenia Hotels & Resorts, Inc.
3030,Clipper Realty Inc.
3040,Cemex S.A.B. de C.V.
3050,Alphabet Inc.
3060,Build-A-Bear Workshop, Inc.
3070,Regions Financial Corporation
3080,Terreno Realty Corporation
3090,Axalta Coating Systems Ltd.
3100,Entergy Louisiana, Inc.
3110,Quintiles IMS Holdings, Inc.
3120,Oak Valley Bancorp (CA)
3130,Morgan Stanley China A Share Fund Inc.
3140,Lam Research Corporation
3150,Laredo Petroleum, Inc.
3160,Pulse Biosciences, Inc
3170,NextEra Energy, Inc.
3180,Artesian Resources Corporation
3190,Warrior Met Coal, Inc.
3200,MGC Diagnostics Corporation
3210,Teradyne, Inc.
3220,General American Investors, Inc.
3230,China Petroleum & Chemical Corporation
3240,Korea Fund, Inc. (The)
3250,Drive Shack Inc.
3260,Paramount Group, Inc.
3270,Entertainment Gaming Asia Incorporated
3280,Protective Life Corporation
3290,National General Holdings Corp
3300,MSC Industrial Direct Company, Inc.
3310,YuMe, Inc.
3320,Summit Hotel Properties, Inc.
3330,Eaton Vance Tax-Managed Buy-Write Income Fund
3340,Kinsale Capital Group, Inc.
3350,Comp En De Mn Cemig ADS
3360,Western Digital Corporation
3370,AllianzGI Diversified Income & Convertible Fund
3380,Reliance Steel & Aluminum Co.
3390,Brookline Bancorp, Inc.
3400,Costamare Inc.
3410,Tri Continental Corporation
3420,VelocityShares 3x Inverse Silver ETN
3430,Mesoblast Limited
3440,CapStar Financial Holdings, Inc.
3450,Vanguard Russell 1000 Value ETF
3460,Textainer Group Holdings Limited
3470,Park Sterling Corporation
3480,National General Holdings Corp
3490,BancFirst Corporation
3500,Pampa Energia S.A.
3510,PowerShares QQQ Trust, Series 1
3520,Nuveen Connecticut Quality Municipal Income Fund
3530,Aclaris Therapeutics, Inc.
3540,Salesforce.com Inc
3550,Sucampo Pharmaceuticals, Inc.
3560,Walgreens Boots Alliance, Inc.
3570,Movado Group Inc.
3580,CalAmp Corp.
3590,Empire State Realty Trust, Inc.
3600,Siliconware Precision Industries Company, Ltd.
3610,Anika Therapeutics Inc.
3620,Edwards Lifesciences Corporation
3630,Dominion Energy, Inc.
3640,Statoil ASA
3650,VictoryShares Dividend Accelerator ETF
3660,California Water  Service Group Holding
3670,FORM Holdings Corp.
3680,Kite Realty Group Trust
3690,Fortress Investment Group LLC
3700,Sanchez Energy Corporation
3710,Origo Acquisition Corporation
3720,Biohaven Pharmaceutical Holding Company Ltd.
3730,pSivida Corp.
3740,NextEra Energy, Inc.
3750,PowerShares S&P SmallCap Consumer Staples Portfolio
3760,Johnson Outdoors Inc.
3770,KBL Merger Corp. IV
3780,Hersha Hospitality Trust
3790,Floor & Decor Holdings, Inc.
3800,PHI, Inc.
3810,Dorman Products, Inc.
3820,American Homes 4 Rent
3830,Pacira Pharmaceuticals, Inc.
3840,Applied Optoelectronics, Inc.
3850,Xilinx, Inc.
3860,Steel Partners Holdings LP
3870,SPAR Group, Inc.
3880,Constellation Brands Inc
3890,Tennant Company
3900,Capital Southwest Corporation
3910,Threshold Pharmaceuticals, Inc.
3920,Mountain Province Diamonds Inc.
3930,Alpine Global Dynamic Dividend Fund
3940,Aviat Networks, Inc.
3950,Putnam Managed Municipal Income Trust
3960,Cadence Design Systems, Inc.
3970,Coty Inc.
3980,FirstEnergy Corporation
3990,Liquidity Services, Inc.
4000,Trevena, Inc.
4010,Quotient Limited
4020,Erie Indemnity Company
4030,PPG Industries, Inc.
4040,First Trust Switzerland AlphaDEX Fund
4050,Vornado Realty Trust
4060,Toronto Dominion Bank (The)
4070,First Trust Alternative Absolute Return Strategy ETF
4080,Mobileye N.V.
4090,Crown Castle International Corporation
4100,3D Systems Corporation
4110,Bank of the James Financial Group, Inc.
4120,VEREIT Inc.
4130,Kadant Inc
4140,Blackrock MuniYield California Fund, Inc.
4150,Timken Steel Corporation
4160,Gramercy Property Trust Inc.
4170,Reven Housing REIT, Inc.
4180,First Trust Nasdaq Bank ETF
4190,Enova International, Inc.
4200,First Trust NASDAQ Clean Edge Green Energy Index Fund
4210,Univar Inc.
4220,Lakeland Industries, Inc.
4230,MB Financial Inc.
4240,LivaNova PLC
4250,Alico, Inc.
4260,Dorman Products, Inc.
4270,MFA Financial, Inc.
4280,DRDGOLD Limited
4290,First Trust RiverFront Dynamic Developed International ETF
4300,TESSCO Technologies Incorporated
4310,Condor Hospitality Trust, Inc.
4320,J P Morgan Chase & Co
4330,L.S. Starrett Company (The)
4340,Eaton vance Floating-Rate Income Plus Fund
4350,American Financial Group, Inc.
4360,Orexigen Therapeutics, Inc.
4370,Grupo Aval Acciones y Valores S.A.
4380,Prudential Bancorp, Inc.
4390,Andina Acquisition Corp. II
4400,GSI Technology, Inc.
4410,Sonoma Pharmaceuticals, Inc.
4420,Range Resources Corporation
4430,National General Holdings Corp
4440,Immuron Limited
4450,Lexington Realty Trust
4460,Weis Markets, Inc.
4470,Comstock Resources, Inc.
4480,New Media Investment Group Inc.
4490,Callon Petroleum Company
4500,Weingarten Realty Investors
4510,OneMain Holdings, Inc.
4520,Ryman Hospitality Properties, Inc.
4530,PowerShares S&P SmallCap Materials Portfolio
4540,RiceBran Technologies
4550,CVB Financial Corporation
4560,Voya Asia Pacific High Dividend Equity Income Fund
4570,Teekay LNG Partners L.P.
4580,Principal Price Setters Index ETF
4590,Dick's Sporting Goods Inc
4600,Colonial High Income Municipal Trust
4610,K12 Inc
4620,Argo Group International Holdings, Ltd.
4630,W.R. Grace & Co.
4640,Hovnanian Enterprises Inc
4650,Johnson Controls International plc
4660,First Trust RiverFront Dynamic Emerging Markets ETF
4670,Audentes Therapeutics, Inc.
4680,Barnes Group, Inc.
4690,Republic First Bancorp, Inc.
4700,Southern Company (The)
4710,Scana Corporation
4720,Netflix, Inc.
4730,NI Holdings, Inc.
4740,Spark Energy, Inc.
4750,Regal Beloit Corporation
4760,Gabelli Convertible and Income Securities Fund, Inc. (The)
4770,NBT Bancorp Inc.
4780,Scorpio Bulkers Inc.
4790,Main Street Capital Corporation
4800,Ship Finance International Limited
4810,Amtech Systems, Inc.
4820,Double Eagle Acquisition Corp.
4830,ICF International, Inc.
4840,Trustmark Corporation
4850,Oaktree Capital Group, LLC
4860,RXi Pharmaceuticals Corporation
4870,Lamb Weston Holdings, Inc.
4880,Loncar Cancer Immunotherapy ETF
4890,Echo Global Logistics, Inc.
4900,American Midstream Partners, LP
4910,Cara Therapeutics, Inc.
4920,SunTrust Banks, Inc.
4930,Biohaven Pharmaceutical Holding Company Ltd.
4940,VistaGen Therapeutics, Inc.
4950,Grupo Aeroportuario Del Pacifico, S.A. de C.V.
4960,Torchlight Energy Resources, Inc.
4970,The Intergroup Corporation
4980,Benchmark Electronics, Inc.
4990,Mammoth Energy Services, Inc.
5000,M&T Bank Corporation
5010,AutoNation, Inc.
5020,ICICI Bank Limited
5030,Pacific Mercantile Bancorp
5040,BlackRock Credit Allocation Income Trust
5050,WhiteHorse Finance, Inc.
5060,KKR Real Estate Finance Trust Inc.
5070,Legg Mason US Diversified Core ETF
5080,GlaxoSmithKline PLC
5090,M/I Homes, Inc.
5100,Littelfuse, Inc.
5110,WisdomTree Japan Hedged SmallCap Equity Fund
5120,PROS Holdings, Inc.
5130,Redhill Biopharma Ltd.
5140,Bank of Nova Scotia (The)
5150,American Electric Technologies, Inc.
5160,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.
5170,Grupo Financiero Galicia S.A.
5180,TrueCar, Inc.
5190,Worthington Industries, Inc.
5200,Intuit Inc.
5210,WisdomTree Investments, Inc.
5220,SecureWorks Corp.
5230,PowerShares DWA Tactical Sector Rotation Portfolio
5240,Ritchie Bros. Auctioneers Incorporated
5250,AllianzGI Diversified Income & Convertible Fund
5260,Innophos Holdings, Inc.
5270,Biogen Inc.
5280,Waters Corporation
5290,Camden National Corporation
5300,The Bon-Ton Stores, Inc.
5310,Vanguard Intermediate -Term Government Bond ETF
5320,DTE Energy Company
5330,Rentech, Inc.
5340,Colony NorthStar, Inc.
5350,Anworth Mortgage Asset  Corporation
5360,Constellation Brands Inc
5370,United Microelectronics Corporation
5380,Corporate Asset Backed Corp CABCO
5390,Chimera Investment Corporation
5400,Summit Hotel Properties, Inc.
5410,Pendrell Corporation
5420,Westmoreland Coal Company
5430,Clearfield, Inc.
5440,Vanguard Russell 1000 Value ETF
5450,TechnipFMC plc
5460,Aethlon Medical, Inc.
5470,Asia Pacific Wire & Cable Corporation Limited
5480,BalckRock Taxable Municipal Bond Trust
5490,Perceptron, Inc.
5500,WebMD Health Corp
5510,Atlantic Capital Bancshares, Inc.
5520,Equitable Financial Corp.
5530,M I Acquisitions, Inc.
5540,Sunstone Hotel Investors, Inc.
5550,Allegheny Technologies Incorporated
5560,Generac Holdlings Inc.
5570,HarborOne Bancorp, Inc.
5580,Sumitomo Mitsui Financial Group Inc
5590,Goldman Sachs MLP Income Opportunities Fund
5600,Quest Resource Holding Corporation.
5610,Benitec Biopharma Limited
5620,Flaherty & Crumrine Preferred Income Fund Incorporated
5630,PROS Holdings, Inc.
5640,Super Micro Computer, Inc.
5650,Kewaunee Scientific Corporation
5660,iShares MSCI Emerging Markets Asia Index Fund
5670,First Trust SSI Strategic Convertible Securities ETF
5680,Genie Energy Ltd.
5690,Genius Brands International, Inc.
5700,Bank Mutual Corporation
5710,Lehman ABS Corporation
5720,AGNC Investment Corp.
5730,Trupanion, Inc.
5740,Allied Healthcare Products, Inc.
5750,Mellanox Technologies, Ltd.
5760,Immuron Limited
5770,Applied DNA Sciences Inc
5780,CommerceHub, Inc.
5790,FIRST REPUBLIC BANK
5800,RiceBran Technologies
5810,Rayonier Inc.
5820,First Trust NASDAQ Cybersecurity ETF
5830,Arlington Asset Investment Corp
5840,Hugoton Royalty Trust
5850,Banco Santander, S.A.
5860,Kraton Corporation
5870,Planet Fitness, Inc.
5880,Tsakos Energy Navigation Ltd
5890,First Trust Mid Cap Growth AlphaDEX Fund
5900,Greenbrier Companies, Inc. (The)
5910,Aevi Genomic Medicine, Inc.
5920,Duff & Phelps Select Energy MLP Fund Inc.
5930,Diana Shipping inc.
5940,Pointer Telocation Ltd.
5950,Endurance International Group Holdings, Inc.
5960,Hershey Company (The)
5970,Navios Maritime Midstream Partners LP
5980,CBS Corporation
5990,Gulf Island Fabrication, Inc.
6000,TerraForm Power, Inc.
6010,First Trust Large Cap Core AlphaDEX Fund
6020,ANI Pharmaceuticals, Inc.
6030,MBIA, Inc.
6040,New Mountain Finance Corporation
6050,Ulta Beauty, Inc.
6060,ChromaDex Corporation
46080,Starbucks Corporation
46100,LG Electronics
46120,McDonald's Corporation
